LOCALIDAD	CIUDAD_BASE	LATITUD	LONGITUD	DEMANDA_PALLETS_ANUAL	POBLACION_ESTIMADA	TIPO_LOCALIDAD	CLASIFICACION_ABC	REGION	ZONA_GEOGRAFICA	DENSIDAD_DEMANDA
Villa Nuevo 134	Arequipa	-16.139318	-71.669672	1750	15106	Urbano	B	Sur	Selva	0.12
Las Mercedes 135	Lima	-12.101493	-76.565353	190	2782	Rural	C	Centro	Costa	0.07
Zona Comercial 136	Chiclayo	-6.713561	-79.899838	3643	29939	Comercial	B	Norte	Costa	0.12
Centro Chico 137	Lima	-12.290532	-77.044165	100	1339	Urbano	C	Centro	Costa	0.07
Las Mercedes 138	Lima	-12.050339	-76.871632	241	2661	Rural	C	Centro	Costa	0.09
San Nuevo 139	Lima	-12.462538	-76.766427	2170	31974	Urbano	B	Centro	Costa	0.07
Centro Norte 140	Piura	-5.398363	-80.373981	325	4325	Urbano	C	Norte	Costa	0.08
Bella Vista 141	Chiclayo	-6.403879	-80.071959	19	283	Rural	C	Norte	Costa	0.07
Zona Nuevo 142	Chiclayo	-6.729767	-79.376397	620	7372	Urbano	C	Norte	Costa	0.08
Pueblo Bajo 143	Arequipa	-16.306603	-71.665109	525	7122	Urbano	C	Sur	Selva	0.07
Anexo Industrial 144	Trujillo	-8.060354	-78.972086	209	2205	Urbano	C	Centro	Costa	0.09
La Esperanza 145	Trujillo	-8.089436	-79.0816	381	5192	Rural	C	Centro	Costa	0.07
Santa Bajo 146	Iquitos	-3.700294	-73.065246	100	1231	Urbano	C	Norte	Sierra	0.08
Zona Comercial 147	Trujillo	-8.388627	-79.10146	1831	15545	Comercial	B	Centro	Costa	0.12
Barrio Industrial 148	Lima	-12.248537	-77.308969	541	6144	Urbano	C	Centro	Costa	0.09
Buenos Aires 149	Pucallpa	-8.455648	-74.619147	37	324	Rural	C	Centro	Sierra	0.11
Bella Vista 150	Lima	-11.847961	-76.964304	199	1978	Rural	C	Centro	Costa	0.1
Caserío Sur 151	Pucallpa	-8.427382	-74.480058	2167	31666	Urbano	B	Centro	Sierra	0.07
Zona Comercial 152	Lima	-12.105056	-76.916604	924	11593	Comercial	C	Centro	Costa	0.08
Zona Central 153	Chiclayo	-6.873582	-79.975841	314	4225	Urbano	C	Norte	Costa	0.07
Zona Comercial 154	Lima	-11.950898	-76.926104	703	10519	Comercial	C	Centro	Costa	0.07
Barrio Chico 155	Lima	-11.941409	-76.965924	1004	9609	Urbano	B	Centro	Costa	0.1
Anexo Chico 156	Chiclayo	-6.962629	-79.662581	423	4170	Urbano	C	Norte	Costa	0.1
La Esperanza 157	Lima	-12.669955	-77.19698	102	1016	Rural	C	Centro	Costa	0.1
Anexo Industrial 158	Arequipa	-16.310031	-71.536549	876	7504	Urbano	C	Sur	Selva	0.12
Las Flores 159	Lima	-12.05064	-77.059766	300	3130	Rural	C	Centro	Costa	0.1
La Esperanza 160	Trujillo	-7.898327	-79.011319	126	1773	Rural	C	Norte	Costa	0.07
Buenos Aires 161	Cusco	-13.340795	-71.625752	261	3218	Rural	C	Sur	Selva	0.08
Las Flores 162	Lima	-11.43631	-77.073002	289	4090	Rural	C	Centro	Costa	0.07
Distrito Sur 163	Lima	-11.948367	-77.191322	1098	12684	Urbano	B	Centro	Costa	0.09
La Esperanza 164	Lima	-11.333769	-76.925492	134	1315	Rural	C	Centro	Costa	0.1
La Esperanza 165	Lima	-12.440576	-77.242372	85	1179	Rural	C	Centro	Costa	0.07
Zona Comercial 166	Chiclayo	-6.864559	-79.714197	842	10790	Comercial	C	Norte	Costa	0.08
Caserío Sur 167	Lima	-11.96427	-77.266746	100	1234	Urbano	C	Centro	Costa	0.08
Zona Comercial 168	Cusco	-13.38283	-71.91364	2373	21144	Comercial	B	Sur	Selva	0.11
Urbanización Sur 169	Iquitos	-4.049004	-73.314381	4353	55644	Urbano	B	Norte	Sierra	0.08
Zona Comercial 170	Lima	-12.061286	-77.052571	1040	9511	Comercial	B	Centro	Costa	0.11
Los Angeles 171	Iquitos	-4.016353	-73.727954	276	2735	Rural	C	Norte	Sierra	0.1
Pueblo Alto 172	Huancayo	-11.977091	-75.006248	3205	44874	Urbano	B	Centro	Sierra	0.07
San Chico 173	Iquitos	-3.82188	-73.315579	2060	19369	Urbano	B	Norte	Sierra	0.11
Sector Norte 174	Piura	-5.205204	-80.616527	1867	17017	Urbano	B	Norte	Costa	0.11
Pueblo Chico 175	Lima	-12.063835	-77.031386	1232	18199	Urbano	B	Centro	Costa	0.07
Sector Industrial 176	Lima	-12.00559	-77.145035	488	5811	Urbano	C	Centro	Costa	0.08
Santa Sur 177	Lima	-12.138689	-76.917996	389	3143	Urbano	C	Centro	Costa	0.12
Buenos Aires 178	Trujillo	-8.306979	-78.852225	13	182	Rural	C	Centro	Costa	0.07
Buenos Aires 179	Chimbote	-8.841021	-78.949923	105	853	Rural	C	Centro	Costa	0.12
Las Flores 180	Chiclayo	-6.710899	-80.628199	36	370	Rural	C	Norte	Costa	0.1
Las Flores 181	Trujillo	-8.597766	-78.705329	22	326	Rural	C	Centro	Costa	0.07
El Milagro 182	Piura	-5.487281	-80.968277	29	253	Rural	C	Norte	Costa	0.11
El Progreso 183	Lima	-11.962818	-76.939456	19	276	Rural	C	Centro	Costa	0.07
La Esperanza 184	Piura	-5.338732	-80.321023	212	1814	Rural	C	Norte	Costa	0.12
Anexo Chico 185	Trujillo	-7.998244	-79.037077	5028	61105	Urbano	A	Norte	Costa	0.08
Distrito Central 186	Cusco	-13.236724	-72.030585	382	3542	Urbano	C	Sur	Selva	0.11
Villa Alto 187	Chiclayo	-6.742334	-79.749713	696	6540	Urbano	C	Norte	Costa	0.11
Barrio Oeste 188	Lima	-12.060462	-76.875283	768	10053	Urbano	C	Centro	Costa	0.08
Las Flores 189	Chiclayo	-6.50853	-79.832468	233	2823	Rural	C	Norte	Costa	0.08
Urbanización Este 190	Piura	-5.023323	-80.440261	15000	164280	Urbano	A	Norte	Costa	0.09
Zona Comercial 191	Chiclayo	-6.827516	-79.811642	3299	29430	Comercial	B	Norte	Costa	0.11
Zona Comercial 192	Piura	-5.267809	-80.689926	2041	30206	Comercial	B	Norte	Costa	0.07
Los Angeles 193	Lima	-12.053146	-77.280734	76	881	Rural	C	Centro	Costa	0.09
Villa Central 194	Chiclayo	-6.704594	-79.910097	2380	25688	Urbano	B	Norte	Costa	0.09
Zona Nuevo 195	Lima	-12.00893	-77.082066	264	3745	Urbano	C	Centro	Costa	0.07
La Esperanza 196	Arequipa	-16.765774	-71.579291	42	508	Rural	C	Sur	Selva	0.08
San Grande 197	Piura	-5.338872	-80.900664	1838	20810	Urbano	B	Norte	Costa	0.09
Santa Sur 198	Cusco	-13.364383	-72.090508	2884	25331	Urbano	B	Sur	Selva	0.11
San Norte 199	Lima	-12.29015	-76.989078	314	2706	Urbano	C	Centro	Costa	0.12
Buenos Aires 200	Chiclayo	-6.85385	-79.854269	52	665	Rural	C	Norte	Costa	0.08
La Esperanza 201	Huancayo	-11.681252	-75.246222	11	139	Rural	C	Centro	Sierra	0.08
Barrio Sur 202	Lima	-12.205878	-76.810284	15000	196954	Urbano	A	Centro	Costa	0.08
Las Flores 203	Lima	-12.397881	-77.294876	81	786	Rural	C	Centro	Costa	0.1
San Norte 204	Cusco	-13.812296	-71.745483	644	8260	Urbano	C	Sur	Selva	0.08
Buenos Aires 205	Lima	-12.140229	-76.907383	121	1814	Rural	C	Centro	Costa	0.07
Las Mercedes 206	Arequipa	-15.567613	-71.297441	42	362	Rural	C	Sur	Selva	0.12
Los Angeles 207	Piura	-5.279055	-80.788925	256	3414	Rural	C	Norte	Costa	0.07
Bella Vista 208	Arequipa	-16.509313	-71.720821	159	1994	Rural	C	Sur	Selva	0.08
San Este 209	Arequipa	-16.438355	-71.458361	202	1951	Urbano	C	Sur	Selva	0.1
Sector Este 210	Lima	-12.007092	-76.977612	100	1233	Urbano	C	Centro	Costa	0.08
Zona Comercial 211	Trujillo	-8.033972	-78.920552	1178	11453	Comercial	B	Centro	Costa	0.1
Caserío Central 212	Trujillo	-8.097289	-78.930296	161	2094	Urbano	C	Centro	Costa	0.08
Centro Alto 213	Lima	-11.989674	-76.852526	753	6341	Urbano	C	Centro	Costa	0.12
Anexo Este 214	Lima	-12.00166	-77.034123	617	7830	Urbano	C	Centro	Costa	0.08
Distrito Bajo 215	Chiclayo	-6.676908	-79.874706	186	2606	Urbano	C	Norte	Costa	0.07
Buenos Aires 216	Lima	-12.358107	-76.560345	95	1042	Rural	C	Centro	Costa	0.09
Zona Industrial 217	Cusco	-13.788122	-71.916514	770	10575	Urbano	C	Sur	Selva	0.07
Barrio Grande 218	Lima	-12.004156	-77.076506	1276	17709	Urbano	B	Centro	Costa	0.07
Santa Este 219	Arequipa	-16.282927	-71.624664	466	5905	Urbano	C	Sur	Selva	0.08
Santa Norte 220	Chiclayo	-6.730404	-79.980836	2972	39105	Urbano	B	Norte	Costa	0.08
Sector Chico 221	Lima	-12.34288	-76.988289	2114	20344	Urbano	B	Centro	Costa	0.1
Distrito Chico 222	Pucallpa	-8.306799	-74.586296	9439	103804	Urbano	A	Centro	Sierra	0.09
Zona Comercial 223	Piura	-5.285196	-80.733447	1728	17140	Comercial	B	Norte	Costa	0.1
Caserío Alto 224	Lima	-11.859308	-77.17331	4694	48177	Urbano	B	Centro	Costa	0.1
Zona Grande 225	Arequipa	-16.391737	-71.758647	315	3710	Urbano	C	Sur	Selva	0.08
Distrito Industrial 226	Chiclayo	-6.831479	-79.901387	1543	19575	Urbano	B	Norte	Costa	0.08
Sector Bajo 227	Chiclayo	-6.671073	-79.849788	746	10968	Urbano	C	Norte	Costa	0.07
Anexo Grande 228	Trujillo	-8.134592	-78.925903	293	3056	Urbano	C	Centro	Costa	0.1
Zona Comercial 229	Iquitos	-3.806279	-73.266206	1162	16145	Comercial	B	Norte	Sierra	0.07
El Progreso 230	Trujillo	-8.583273	-78.789205	196	1743	Rural	C	Centro	Costa	0.11
Santa Viejo 231	Trujillo	-8.344825	-79.207674	293	3125	Urbano	C	Centro	Costa	0.09
Santa Bajo 232	Lima	-11.906208	-77.130274	162	2364	Urbano	C	Centro	Costa	0.07
Buenos Aires 233	Lima	-11.980862	-76.984372	92	991	Rural	C	Centro	Costa	0.09
Distrito Oeste 234	Cusco	-13.357402	-71.800134	100	1364	Urbano	C	Sur	Selva	0.07
Zona Norte 235	Cusco	-13.830379	-72.120358	1563	18796	Urbano	B	Sur	Selva	0.08
Villa Este 236	Chimbote	-9.034601	-78.475132	768	7083	Urbano	C	Centro	Costa	0.11
Anexo Oeste 237	Arequipa	-16.449613	-71.75801	711	10494	Urbano	C	Sur	Selva	0.07
Anexo Bajo 238	Arequipa	-16.344848	-71.652722	1255	15483	Urbano	B	Sur	Selva	0.08
Villa Chico 239	Lima	-11.930307	-77.057927	795	11834	Urbano	C	Centro	Costa	0.07
Anexo Norte 240	Lima	-12.123578	-77.233852	443	5690	Urbano	C	Centro	Costa	0.08
Zona Comercial 241	Trujillo	-8.044507	-79.006468	2344	27399	Comercial	B	Centro	Costa	0.09
Distrito Viejo 242	Arequipa	-16.217859	-71.553914	111	1039	Urbano	C	Sur	Selva	0.11
Buenos Aires 243	Arequipa	-16.18164	-71.278527	87	989	Rural	C	Sur	Selva	0.09
Centro Nuevo 244	Iquitos	-3.677901	-73.377506	539	6647	Urbano	C	Norte	Sierra	0.08
Zona Comercial 245	Lima	-11.978645	-76.903211	500	5917	Comercial	C	Centro	Costa	0.08
La Esperanza 246	Trujillo	-8.564841	-79.040174	87	787	Rural	C	Centro	Costa	0.11
Los Angeles 247	Lima	-11.739964	-76.941756	66	969	Rural	C	Centro	Costa	0.07
Bella Vista 248	Huancayo	-12.236927	-75.035696	251	2776	Rural	C	Centro	Sierra	0.09
Zona Comercial 249	Lima	-12.099581	-76.980721	1080	11560	Comercial	B	Centro	Costa	0.09
Centro Industrial 250	Trujillo	-7.932671	-79.048498	3210	45508	Urbano	B	Norte	Costa	0.07
El Progreso 251	Trujillo	-8.714403	-79.506671	62	526	Rural	C	Centro	Costa	0.12
Pueblo Este 252	Lima	-12.089201	-77.057117	830	12401	Urbano	C	Centro	Costa	0.07
Zona Industrial 253	Chiclayo	-6.903744	-80.030014	2759	27190	Urbano	B	Norte	Costa	0.1
El Milagro 254	Chimbote	-9.334744	-77.903457	184	2331	Rural	C	Centro	Costa	0.08
Bella Vista 255	Lima	-11.783799	-76.914257	50	738	Rural	C	Centro	Costa	0.07
Anexo Sur 256	Lima	-12.227005	-77.048055	696	10051	Urbano	C	Centro	Costa	0.07
Sector Sur 257	Lima	-11.827551	-77.156186	189	2093	Urbano	C	Centro	Costa	0.09
Barrio Central 258	Huancayo	-12.244386	-75.334064	100	1420	Urbano	C	Centro	Sierra	0.07
Bella Vista 259	Lima	-11.668563	-76.687424	76	1009	Rural	C	Centro	Costa	0.08
El Progreso 260	Huancayo	-12.01882	-75.524372	119	996	Rural	C	Centro	Sierra	0.12
Zona Comercial 261	Trujillo	-7.993293	-79.167029	1016	13291	Comercial	B	Norte	Costa	0.08
Caserío Central 262	Cusco	-13.529701	-71.818078	599	7864	Urbano	C	Sur	Selva	0.08
Centro Grande 263	Chiclayo	-6.842844	-79.812164	1642	20449	Urbano	B	Norte	Costa	0.08
Barrio Este 264	Trujillo	-8.218543	-78.939666	1050	15689	Urbano	B	Centro	Costa	0.07
Los Angeles 265	Arequipa	-16.686892	-71.486727	184	1714	Rural	C	Sur	Selva	0.11
Anexo Norte 266	Arequipa	-16.389819	-71.380976	3773	52368	Urbano	B	Sur	Selva	0.07
El Milagro 267	Lima	-11.801922	-76.881435	169	1908	Rural	C	Centro	Costa	0.09
Villa Nuevo 268	Pucallpa	-8.402659	-74.461735	1176	16703	Urbano	B	Centro	Sierra	0.07
Pueblo Norte 269	Arequipa	-16.322196	-71.937501	106	1437	Urbano	C	Sur	Selva	0.07
Distrito Oeste 270	Chiclayo	-6.708547	-80.063547	3026	36493	Urbano	B	Norte	Costa	0.08
Buenos Aires 271	Trujillo	-7.956389	-78.7307	196	2251	Rural	C	Norte	Costa	0.09
