LOCALIDAD	CIUDAD_BASE	LATITUD	LONGITUD	DEMANDA_PALLETS_ANUAL	POBLACION_ESTIMADA	TIPO_LOCALIDAD	CLASIFICACION_ABC	REGION	ZONA_GEOGRAFICA	DENSIDAD_DEMANDA
Centro Este 24	Cartagena	10.352343	-75.449184	3266	29544	Urbano	A	Bolívar	Caribe	0.08
Zona Comercial Grande 25	Chiclayo	-6.720185	-79.836686	968	12004	Urbano	B	Lambayeque	Costa	0.1
Distrito Central 26	Cali	3.473974	-76.587653	1502	13769	Urbano	B	Valle del Cauca	Pacífico	0.08
Centro Nuevo 27	Quito	-0.192806	-78.470631	451	6812	Urbano	C	Pichincha	Sierra	0.15
Villa Sur 28	Lima	-12.101789	-77.066968	1067	293	Comercial	B	Lima	Costa	0.13
Pueblo Bajo 29	Chiclayo	-6.771606	-79.719533	1572	13186	Urbano	B	Lambayeque	Costa	0.08
Anexo Central 30	Medellín	6.296395	-75.515053	1390	21419	Urbano	B	Antioquia	Andina	0.08
Villa Chico 31	Cali	3.567996	-76.610823	2592	322	Comercial	A	Valle del Cauca	Pacífico	0.12
Villa Industrial 32	Huancayo	-12.179119	-75.265489	1652	15277	Urbano	B	Junín	Sierra	0.08
Pueblo Oeste 33	Guayaquil	-2.132968	-79.879937	2013	17750	Urbano	A	Guayas	Costa	0.11
Urbanización Alto 34	Cali	3.373624	-76.593455	3756	39739	Urbano	A	Valle del Cauca	Pacífico	0.15
Urbanización Este 35	El Alto	-16.486503	-68.179497	3067	36413	Urbano	A	La Paz	Altiplano	0.15
Urbanización Norte 36	Cusco	-13.479886	-71.882899	633	5801	Urbano	C	Cusco	Sierra	0.07
Centro Central 37	Lima	-12.002315	-77.053277	1289	23214	Urbano	B	Lima	Costa	0.11
Barrio Oeste 38	Trujillo	-8.099117	-78.948878	114	2504	Rural	C	La Libertad	Costa	0.08
Barrio Viejo 39	Iquitos	-3.666598	-73.14902	13	517	Rural	C	Loreto	Selva	0.14
Zona Comercial Oeste 40	Trujillo	-8.15595	-78.892046	3686	36123	Urbano	A	La Libertad	Costa	0.15
Urbanización Bajo 41	El Alto	-16.474528	-68.212149	81	1069	Rural	C	La Paz	Altiplano	0.15
Centro Industrial 42	Huancayo	-12.100287	-75.142601	3228	34223	Urbano	A	Junín	Sierra	0.06
Pueblo Oeste 43	Manta	-0.95434	-80.757391	763	7530	Urbano	C	Manabí	Costa	0.07
Pueblo Chico 44	Cali	3.483822	-76.582879	3531	33813	Urbano	A	Valle del Cauca	Pacífico	0.13
Villa Sur 45	Arequipa	-16.372156	-71.60714	377	3902	Urbano	C	Arequipa	Sierra	0.13
Anexo Norte 46	Iquitos	-3.827208	-73.267709	5314	47516	Urbano	A	Loreto	Selva	0.07
Urbanización Viejo 47	Huancayo	-12.048176	-75.213635	4964	50722	Urbano	A	Junín	Sierra	0.13
Zona Comercial Viejo 48	Medellín	6.262189	-75.546537	369	5589	Urbano	C	Antioquia	Andina	0.11
Anexo Viejo 49	Cuenca	-2.966587	-79.068614	437	3653	Urbano	C	Azuay	Sierra	0.13
Pueblo Viejo 50	Chiclayo	-6.779321	-79.920481	1727	22700	Urbano	B	Lambayeque	Costa	0.06
Distrito Alto 51	Quito	-0.219062	-78.459158	2037	28206	Urbano	A	Pichincha	Sierra	0.07
Urbanización Bajo 52	Lima	-12.073525	-77.043015	440	8613	Urbano	C	Lima	Costa	0.09
Barrio Bajo 53	Lima	-12.044729	-77.051812	2757	29804	Urbano	A	Lima	Costa	0.06
Pueblo Alto 54	Iquitos	-3.785365	-73.274528	1401	12361	Urbano	B	Loreto	Selva	0.14
Distrito Sur 55	Barranquilla	10.929114	-74.728685	393	5580	Urbano	C	Atlántico	Caribe	0.11
Villa Central 56	Guayaquil	-2.145792	-79.955452	982	11739	Urbano	B	Guayas	Costa	0.06
Caserío Nuevo 57	Lima	-12.050022	-77.106164	324	3961	Urbano	C	Lima	Costa	0.12
Caserío Chico 58	Trujillo	-8.136363	-79.035856	1611	542	Comercial	B	La Libertad	Costa	0.06
Anexo Viejo 59	Arequipa	-16.349754	-71.52164	647	10644	Urbano	C	Arequipa	Sierra	0.06
Pueblo Industrial 60	Quito	-0.215192	-78.526181	2557	34827	Urbano	A	Pichincha	Sierra	0.05
Urbanización Norte 61	Medellín	6.237694	-75.590437	308	5146	Urbano	C	Antioquia	Andina	0.07
Centro Chico 62	Barranquilla	11.001393	-74.755092	1732	20796	Urbano	B	Atlántico	Caribe	0.15
Zona Comercial Sur 63	Lima	-12.036133	-77.007804	462	7199	Urbano	C	Lima	Costa	0.06
Urbanización Chico 64	Cartagena	10.394355	-75.552458	4356	44419	Urbano	A	Bolívar	Caribe	0.11
Pueblo Oeste 65	Iquitos	-3.753065	-73.26139	1165	15209	Urbano	B	Loreto	Selva	0.12
Barrio Central 66	Chiclayo	-6.920926	-79.803498	1304	11826	Urbano	B	Lambayeque	Costa	0.08
Centro Grande 67	Trujillo	-8.125286	-78.969726	147	1971	Rural	C	La Libertad	Costa	0.1
Villa Nuevo 68	Cusco	-13.5363	-71.882618	2638	869	Comercial	A	Cusco	Sierra	0.1
Anexo Nuevo 69	Cuenca	-2.90176	-78.964517	852	11822	Urbano	B	Azuay	Sierra	0.11
Caserío Oeste 70	Cusco	-13.581129	-71.853391	1856	20388	Urbano	B	Cusco	Sierra	0.07
Centro Alto 71	Cartagena	10.427513	-75.474667	3902	167	Comercial	A	Bolívar	Caribe	0.09
Distrito Este 72	Lima	-12.057526	-76.930908	1561	13629	Urbano	B	Lima	Costa	0.13
Urbanización Chico 73	Iquitos	-3.781027	-73.26829	4807	45777	Urbano	A	Loreto	Selva	0.12
Zona Comercial Nuevo 74	Guayaquil	-2.183843	-79.920371	1769	19772	Urbano	B	Guayas	Costa	0.05
Centro Industrial 75	Cartagena	10.404684	-75.50111	5766	71402	Urbano	A	Bolívar	Caribe	0.07
Villa Grande 76	Guayaquil	-2.104121	-79.910998	3331	547	Comercial	A	Guayas	Costa	0.08
Zona Comercial Bajo 77	Medellín	6.259318	-75.573761	7049	81345	Urbano	A	Antioquia	Andina	0.05
Barrio Bajo 78	Quito	-0.172426	-78.335358	1725	24566	Urbano	B	Pichincha	Sierra	0.12
Distrito Norte 79	Trujillo	-8.108732	-78.990765	4605	49480	Urbano	A	La Libertad	Costa	0.13
Zona Comercial Alto 80	Manta	-0.936737	-80.663917	1420	22959	Urbano	B	Manabí	Costa	0.14
Distrito Bajo 81	Iquitos	-3.7713	-73.217599	2148	27480	Urbano	A	Loreto	Selva	0.07
Urbanización Grande 82	Iquitos	-3.731858	-73.345399	1381	697	Comercial	B	Loreto	Selva	0.08
Sector Este 83	Manta	-0.986896	-80.709988	629	5629	Urbano	C	Manabí	Costa	0.08
Zona Comercial Chico 84	Cochabamba	-17.382954	-66.229369	2553	34678	Urbano	A	Cochabamba	Valles	0.11
Zona Comercial Viejo 85	Manta	-0.97432	-80.798418	51	1623	Rural	C	Manabí	Costa	0.09
Pueblo Central 86	Bogotá	4.620151	-74.058873	249	4421	Urbano	C	Cundinamarca	Andina	0.05
Sector Norte 87	Guayaquil	-2.202964	-79.849486	17	274	Rural	C	Guayas	Costa	0.14
Sector Central 88	Cochabamba	-17.372153	-66.084202	2700	23967	Urbano	A	Cochabamba	Valles	0.07
Urbanización Central 89	Guayaquil	-2.191353	-79.851189	6237	63288	Urbano	A	Guayas	Costa	0.1
Zona Comercial Nuevo 90	Barranquilla	11.000053	-74.74976	1589	18823	Urbano	B	Atlántico	Caribe	0.12
Villa Viejo 91	Lima	-12.110186	-77.042118	2465	24760	Urbano	A	Lima	Costa	0.11
Zona Comercial Bajo 92	Arequipa	-16.347884	-71.560281	2918	41418	Urbano	A	Arequipa	Sierra	0.07
Pueblo Central 93	Manta	-0.98783	-80.665452	4276	81	Comercial	A	Manabí	Costa	0.08
Centro Bajo 94	Chiclayo	-6.685869	-79.847882	1472	18337	Urbano	B	Lambayeque	Costa	0.06
Sector Nuevo 95	Cali	3.516911	-76.512602	1237	839	Comercial	B	Valle del Cauca	Pacífico	0.13
Pueblo Central 96	Guayaquil	-2.226681	-79.833605	620	7354	Urbano	C	Guayas	Costa	0.09
Distrito Sur 97	Chiclayo	-6.774472	-79.817376	59	2057	Rural	C	Lambayeque	Costa	0.07
Caserío Grande 98	Santa Cruz	-17.688903	-63.072788	60	1562	Rural	C	Santa Cruz	Llanos	0.08
Barrio Grande 99	Guayaquil	-2.104282	-79.922167	6398	123702	Urbano	A	Guayas	Costa	0.11
Urbanización Viejo 100	Cartagena	10.373078	-75.465095	643	7468	Urbano	C	Bolívar	Caribe	0.11
Pueblo Central 101	Chiclayo	-6.816422	-79.739812	96	2975	Rural	C	Lambayeque	Costa	0.1
Distrito Este 102	Chiclayo	-6.827408	-79.830002	1051	270	Comercial	B	Lambayeque	Costa	0.1
Caserío Grande 103	Cartagena	10.406436	-75.452978	1911	17944	Urbano	B	Bolívar	Caribe	0.11
Distrito Chico 104	Bogotá	4.729442	-74.032604	333	2907	Urbano	C	Cundinamarca	Andina	0.11
Barrio Alto 105	La Paz	-16.52756	-68.185973	6179	53399	Urbano	A	La Paz	Altiplano	0.07
Caserío Alto 106	Cartagena	10.433429	-75.455495	5020	62342	Urbano	A	Bolívar	Caribe	0.14
Barrio Este 107	Cusco	-13.492696	-71.91918	780	6522	Urbano	C	Cusco	Sierra	0.11
Urbanización Industrial 108	Huancayo	-12.099915	-75.23518	946	15728	Urbano	B	Junín	Sierra	0.13
Villa Bajo 109	Barranquilla	10.889838	-74.803446	3326	55935	Urbano	A	Atlántico	Caribe	0.07
Pueblo Nuevo 110	Iquitos	-3.776376	-73.310429	3333	37628	Urbano	A	Loreto	Selva	0.13
Sector Grande 111	Iquitos	-3.811381	-73.294965	553	6217	Urbano	C	Loreto	Selva	0.09
Pueblo Viejo 112	Huancayo	-11.99493	-75.10408	820	13909	Urbano	B	Junín	Sierra	0.09
Sector Bajo 113	Lima	-12.097352	-77.134968	6281	54655	Urbano	A	Lima	Costa	0.13
Sector Bajo 114	Bogotá	4.610728	-74.143273	1533	28113	Urbano	B	Cundinamarca	Andina	0.13
Barrio Industrial 115	La Paz	-16.471038	-68.168176	3394	60119	Urbano	A	La Paz	Altiplano	0.06
Barrio Este 116	Medellín	6.198914	-75.658006	71	1043	Rural	C	Antioquia	Andina	0.14
Zona Comercial Viejo 117	Cusco	-13.525016	-71.958627	309	4515	Urbano	C	Cusco	Sierra	0.06
Urbanización Oeste 118	Cuenca	-2.876481	-78.932254	933	12964	Urbano	B	Azuay	Sierra	0.13
Distrito Grande 119	Manta	-0.896467	-80.712454	461	6815	Urbano	C	Manabí	Costa	0.06
Anexo Industrial 120	Bogotá	4.742213	-74.02778	317	3332	Urbano	C	Cundinamarca	Andina	0.06
Villa Industrial 121	Quito	-0.237784	-78.492678	4677	878	Comercial	A	Pichincha	Sierra	0.12
Pueblo Bajo 122	Cuenca	-2.903678	-79.054364	136	2719	Urbano	C	Azuay	Sierra	0.12
Centro Grande 123	El Alto	-16.565485	-68.166021	2010	17081	Urbano	A	La Paz	Altiplano	0.1
Urbanización Chico 124	Medellín	6.249431	-75.541479	532	6648	Urbano	C	Antioquia	Andina	0.09
Zona Comercial Alto 125	Chiclayo	-6.738339	-79.830705	6283	82098	Urbano	A	Lambayeque	Costa	0.09
Zona Comercial Grande 126	Medellín	6.239127	-75.583068	5250	55248	Urbano	A	Antioquia	Andina	0.13
Urbanización Oeste 127	Bogotá	4.785452	-74.133023	27	1206	Rural	C	Cundinamarca	Andina	0.1
Barrio Este 128	Lima	-11.99562	-77.152213	4214	51481	Urbano	A	Lima	Costa	0.07
Urbanización Sur 129	Cartagena	10.439959	-75.440513	1822	25545	Urbano	B	Bolívar	Caribe	0.06
Anexo Oeste 130	Lima	-12.120819	-77.057836	2992	338	Comercial	A	Lima	Costa	0.15
Barrio Bajo 131	Medellín	6.328311	-75.64725	7	111	Rural	C	Antioquia	Andina	0.06
Villa Oeste 132	Cusco	-13.535716	-71.948319	41	610	Rural	C	Cusco	Sierra	0.07
Villa Grande 133	Cartagena	10.451314	-75.488529	1730	26457	Urbano	B	Bolívar	Caribe	0.11
Barrio Central 134	Cuenca	-2.922013	-78.941428	1282	12572	Urbano	B	Azuay	Sierra	0.12
Pueblo Viejo 135	Lima	-12.030777	-77.035875	2168	29027	Urbano	A	Lima	Costa	0.12
Urbanización Alto 136	Medellín	6.190094	-75.57541	1998	570	Comercial	B	Antioquia	Andina	0.14
Pueblo Oeste 137	Barranquilla	10.931719	-74.832021	34	445	Rural	C	Atlántico	Caribe	0.07
Caserío Norte 138	Cusco	-13.483914	-71.990766	5917	49440	Urbano	A	Cusco	Sierra	0.13
Distrito Chico 139	Trujillo	-8.131339	-78.99946	42	948	Rural	C	La Libertad	Costa	0.15
Centro Central 140	Cali	3.486185	-76.515703	716	12778	Urbano	C	Valle del Cauca	Pacífico	0.05
Pueblo Viejo 141	Trujillo	-8.096485	-79.109881	63	1013	Rural	C	La Libertad	Costa	0.1
Zona Comercial Nuevo 142	Quito	-0.102661	-78.452826	2933	461	Comercial	A	Pichincha	Sierra	0.15
Centro Central 143	Santa Cruz	-17.785958	-63.12868	2546	29497	Urbano	A	Santa Cruz	Llanos	0.15
Villa Este 144	Cartagena	10.386104	-75.529885	315	3328	Urbano	C	Bolívar	Caribe	0.13
Distrito Norte 145	Cusco	-13.497767	-71.96366	68	1002	Rural	C	Cusco	Sierra	0.1
Sector Chico 146	Lima	-11.966393	-77.015898	3629	588	Comercial	A	Lima	Costa	0.15
Villa Este 147	Santa Cruz	-17.712811	-63.069129	840	10679	Urbano	B	Santa Cruz	Llanos	0.1
Distrito Norte 148	Arequipa	-16.473349	-71.518712	2286	24296	Urbano	A	Arequipa	Sierra	0.06
Villa Central 149	Iquitos	-3.675173	-73.245887	793	8437	Urbano	C	Loreto	Selva	0.11
Barrio Nuevo 150	Cali	3.345427	-76.559265	1137	13691	Urbano	B	Valle del Cauca	Pacífico	0.09
Pueblo Viejo 151	Arequipa	-16.479337	-71.484307	385	5167	Urbano	C	Arequipa	Sierra	0.09
Barrio Sur 152	Huancayo	-12.046601	-75.225152	3786	321	Comercial	A	Junín	Sierra	0.1
Barrio Oeste 153	Barranquilla	10.909845	-74.741425	23	632	Rural	C	Atlántico	Caribe	0.11
Anexo Este 154	Cusco	-13.560795	-72.015084	658	7245	Urbano	C	Cusco	Sierra	0.14
Sector Sur 155	Manta	-0.922167	-80.778583	3907	43552	Urbano	A	Manabí	Costa	0.11
Pueblo Oeste 156	Medellín	6.250769	-75.555634	22	606	Rural	C	Antioquia	Andina	0.09
Sector Industrial 157	Cartagena	10.319067	-75.433758	3646	766	Comercial	A	Bolívar	Caribe	0.06
Anexo Central 158	Medellín	6.237039	-75.591007	1351	410	Comercial	B	Antioquia	Andina	0.06
Distrito Alto 159	Chiclayo	-6.699512	-79.84589	4720	57698	Urbano	A	Lambayeque	Costa	0.11
Distrito Sur 160	Iquitos	-3.712036	-73.156593	444	4612	Urbano	C	Loreto	Selva	0.13
Anexo Norte 161	Quito	-0.220988	-78.389365	4985	50445	Urbano	A	Pichincha	Sierra	0.09
Villa Norte 162	Lima	-12.041818	-77.007017	2805	34283	Urbano	A	Lima	Costa	0.12
Barrio Nuevo 163	Manta	-1.082971	-80.734179	1091	11278	Urbano	B	Manabí	Costa	0.07
Caserío Chico 164	Cochabamba	-17.375609	-66.25548	934	7948	Urbano	B	Cochabamba	Valles	0.07
Villa Viejo 165	Trujillo	-8.099463	-79.068857	3239	644	Comercial	A	La Libertad	Costa	0.06
Anexo Norte 166	Arequipa	-16.392556	-71.530952	2441	38965	Urbano	A	Arequipa	Sierra	0.11
Zona Comercial Industrial 167	Medellín	6.258378	-75.584349	951	14503	Urbano	B	Antioquia	Andina	0.06
Urbanización Chico 168	Santa Cruz	-17.775374	-63.184157	2058	25152	Urbano	A	Santa Cruz	Llanos	0.12
Centro Bajo 169	Medellín	6.205753	-75.621914	7194	62706	Urbano	A	Antioquia	Andina	0.08
Barrio Oeste 170	Quito	-0.190673	-78.565069	1536	18761	Urbano	B	Pichincha	Sierra	0.05
Sector Viejo 171	Cali	3.476979	-76.567638	924	10804	Urbano	B	Valle del Cauca	Pacífico	0.13
Villa Este 172	Arequipa	-16.460718	-71.458516	1573	22001	Urbano	B	Arequipa	Sierra	0.06
Centro Sur 173	Cartagena	10.474199	-75.491291	3825	632	Comercial	A	Bolívar	Caribe	0.11
Sector Central 174	Cartagena	10.391875	-75.44227	334	3287	Urbano	C	Bolívar	Caribe	0.11
Anexo Nuevo 175	Lima	-12.093401	-76.996556	1033	8875	Urbano	B	Lima	Costa	0.11
Urbanización Viejo 176	La Paz	-16.508874	-68.120171	1823	30512	Urbano	B	La Paz	Altiplano	0.07
Sector Central 177	Iquitos	-3.720749	-73.190154	299	2530	Urbano	C	Loreto	Selva	0.1
Pueblo Viejo 178	Iquitos	-3.730897	-73.236775	2951	29902	Urbano	A	Loreto	Selva	0.06
Zona Comercial Industrial 179	Medellín	6.181125	-75.507595	1744	15786	Urbano	B	Antioquia	Andina	0.09
Distrito Industrial 180	Chiclayo	-6.868868	-79.818274	25	616	Rural	C	Lambayeque	Costa	0.1
Urbanización Norte 181	La Paz	-16.517863	-68.08862	1306	82	Comercial	B	La Paz	Altiplano	0.06
Caserío Industrial 182	Medellín	6.185841	-75.558357	358	5359	Urbano	C	Antioquia	Andina	0.15
Distrito Chico 183	Cuenca	-2.923246	-78.985433	1962	19338	Urbano	B	Azuay	Sierra	0.06
Anexo Norte 184	Arequipa	-16.335055	-71.569789	3114	43562	Urbano	A	Arequipa	Sierra	0.12
Pueblo Alto 185	Trujillo	-8.085922	-79.020284	707	9481	Urbano	C	La Libertad	Costa	0.07
Distrito Industrial 186	Manta	-0.949884	-80.591331	715	6651	Urbano	C	Manabí	Costa	0.12
Centro Norte 187	Barranquilla	10.963587	-74.854926	22	321	Rural	C	Atlántico	Caribe	0.12
Anexo Alto 188	Lima	-12.026254	-77.080118	89	1841	Rural	C	Lima	Costa	0.1
Pueblo Nuevo 189	Barranquilla	10.962779	-74.823843	655	9764	Urbano	C	Atlántico	Caribe	0.13
Distrito Este 190	Santa Cruz	-17.774774	-63.255332	2632	23645	Urbano	A	Santa Cruz	Llanos	0.05
Caserío Chico 191	Cali	3.409086	-76.558163	1859	22045	Urbano	B	Valle del Cauca	Pacífico	0.11
Pueblo Industrial 192	El Alto	-16.465522	-68.136614	2132	22294	Urbano	A	La Paz	Altiplano	0.11
Urbanización Oeste 193	Cusco	-13.478493	-71.946743	956	19125	Urbano	B	Cusco	Sierra	0.05
Barrio Viejo 194	Iquitos	-3.664306	-73.325382	8859	107752	Urbano	A	Loreto	Selva	0.15
Anexo Oeste 195	Guayaquil	-2.15755	-79.893992	728	7460	Urbano	C	Guayas	Costa	0.14
Villa Nuevo 196	Iquitos	-3.728347	-73.297064	2486	27206	Urbano	A	Loreto	Selva	0.11
Centro Grande 197	Cochabamba	-17.364882	-66.031174	41	581	Rural	C	Cochabamba	Valles	0.15
Barrio Norte 198	Iquitos	-3.769249	-73.213401	46	1463	Rural	C	Loreto	Selva	0.05
Zona Comercial Central 199	Cusco	-13.558343	-71.974569	3032	54387	Urbano	A	Cusco	Sierra	0.08
Urbanización Nuevo 200	Trujillo	-8.112299	-78.952435	2948	29400	Urbano	A	La Libertad	Costa	0.11
Anexo Grande 201	Huancayo	-11.993161	-75.15465	4056	39817	Urbano	A	Junín	Sierra	0.09
Centro Sur 202	Arequipa	-16.466962	-71.576017	2424	38855	Urbano	A	Arequipa	Sierra	0.07
Centro Central 203	Arequipa	-16.422228	-71.509626	85	2101	Rural	C	Arequipa	Sierra	0.09
Sector Viejo 204	Cuenca	-2.963545	-79.067869	1334	15360	Urbano	B	Azuay	Sierra	0.13
Caserío Industrial 205	Barranquilla	11.01038	-74.756888	17	293	Rural	C	Atlántico	Caribe	0.08
Urbanización Bajo 206	Medellín	6.228803	-75.540121	1926	18754	Urbano	B	Antioquia	Andina	0.07
Urbanización Sur 207	Santa Cruz	-17.684988	-63.172643	1369	11906	Urbano	B	Santa Cruz	Llanos	0.08
Distrito Alto 208	Lima	-12.128263	-77.047621	3694	62123	Urbano	A	Lima	Costa	0.08
Centro Bajo 209	Bogotá	4.761855	-74.230536	3995	51552	Urbano	A	Cundinamarca	Andina	0.14
Centro Grande 210	Trujillo	-8.114305	-79.022926	109	1845	Rural	C	La Libertad	Costa	0.12
Barrio Grande 211	Lima	-12.099848	-76.942973	266	3226	Urbano	C	Lima	Costa	0.05
Centro Industrial 212	Guayaquil	-2.19855	-79.87965	3440	66628	Urbano	A	Guayas	Costa	0.05
Distrito Bajo 213	Medellín	6.30668	-75.546155	18	299	Rural	C	Antioquia	Andina	0.11
Zona Comercial Este 214	Cusco	-13.717995	-71.887777	813	13012	Urbano	B	Cusco	Sierra	0.09
Sector Norte 215	Arequipa	-16.501824	-71.572479	5003	57207	Urbano	A	Arequipa	Sierra	0.05
Sector Industrial 216	Chiclayo	-6.875191	-79.815713	815	11865	Urbano	B	Lambayeque	Costa	0.08
Pueblo Alto 217	Cochabamba	-17.404896	-66.164934	70	1089	Rural	C	Cochabamba	Valles	0.13
Caserío Industrial 218	Iquitos	-3.790955	-73.222694	1635	31039	Urbano	B	Loreto	Selva	0.07
Zona Comercial Viejo 219	Bogotá	4.684962	-74.019839	15	315	Rural	C	Cundinamarca	Andina	0.11
Anexo Central 220	Guayaquil	-2.111797	-80.018144	398	7072	Urbano	C	Guayas	Costa	0.06
Caserío Chico 221	Cartagena	10.362498	-75.479121	1041	17443	Urbano	B	Bolívar	Caribe	0.11
Centro Industrial 222	Guayaquil	-2.113889	-79.937365	1146	417	Comercial	B	Guayas	Costa	0.14
Pueblo Alto 223	Quito	-0.239184	-78.410288	2156	32090	Urbano	A	Pichincha	Sierra	0.14
Anexo Nuevo 224	Medellín	6.309242	-75.618628	2125	19447	Urbano	A	Antioquia	Andina	0.06
Pueblo Chico 225	Huancayo	-12.089398	-75.232535	1393	18079	Urbano	B	Junín	Sierra	0.14
Villa Sur 226	Chiclayo	-6.791724	-79.809719	2377	32041	Urbano	A	Lambayeque	Costa	0.07
Villa Nuevo 227	Cartagena	10.373828	-75.497276	2471	23992	Urbano	A	Bolívar	Caribe	0.15
Centro Bajo 228	Cuenca	-2.905173	-78.994763	9517	122679	Urbano	A	Azuay	Sierra	0.12
Pueblo Norte 229	Manta	-1.008685	-80.712099	1557	19938	Urbano	B	Manabí	Costa	0.09
Caserío Nuevo 230	Manta	-0.89968	-80.737616	286	5365	Urbano	C	Manabí	Costa	0.15
Anexo Chico 231	Quito	-0.136967	-78.443153	2248	309	Comercial	A	Pichincha	Sierra	0.05
Caserío Viejo 232	Huancayo	-12.099451	-75.1757	272	4276	Urbano	C	Junín	Sierra	0.11
Anexo Este 233	Trujillo	-8.009856	-79.021873	373	7014	Urbano	C	La Libertad	Costa	0.11
Villa Bajo 234	Trujillo	-8.115278	-78.990405	2168	39725	Urbano	A	La Libertad	Costa	0.1
Pueblo Norte 235	Iquitos	-3.764699	-73.323603	350	5884	Urbano	C	Loreto	Selva	0.12
Zona Comercial Central 236	Bogotá	4.665634	-74.038209	403	4068	Urbano	C	Cundinamarca	Andina	0.08
Villa Nuevo 237	Manta	-0.998698	-80.697752	6513	55931	Urbano	A	Manabí	Costa	0.09
Distrito Viejo 238	Medellín	6.260557	-75.523884	319	4074	Urbano	C	Antioquia	Andina	0.14
Villa Oeste 239	Barranquilla	10.886482	-74.772153	983	8311	Urbano	B	Atlántico	Caribe	0.09
Centro Sur 240	Iquitos	-3.64888	-73.255439	1246	461	Comercial	B	Loreto	Selva	0.11
Anexo Nuevo 241	Cuenca	-2.862407	-79.105168	536	6065	Urbano	C	Azuay	Sierra	0.14
Sector Oeste 242	Bogotá	4.746315	-74.134027	2707	44191	Urbano	A	Cundinamarca	Andina	0.12
Zona Comercial Viejo 243	Iquitos	-3.721511	-73.283974	2474	22331	Urbano	A	Loreto	Selva	0.07
Villa Grande 244	Guayaquil	-2.021917	-79.961294	458	7696	Urbano	C	Guayas	Costa	0.09
Zona Comercial Central 245	Chiclayo	-6.745304	-79.804913	3343	64672	Urbano	A	Lambayeque	Costa	0.1
Zona Comercial Chico 246	El Alto	-16.559292	-68.184383	1057	13153	Urbano	B	La Paz	Altiplano	0.1
Barrio Sur 247	Iquitos	-3.620316	-73.261356	1348	13935	Urbano	B	Loreto	Selva	0.09
Distrito Oeste 248	Santa Cruz	-17.728354	-63.115491	1470	345	Comercial	B	Santa Cruz	Llanos	0.08
Villa Este 249	Bogotá	4.659155	-74.139288	1217	20808	Urbano	B	Cundinamarca	Andina	0.11
Zona Comercial Sur 250	Quito	-0.151093	-78.419462	362	5724	Urbano	C	Pichincha	Sierra	0.14
Anexo Viejo 251	Chiclayo	-6.792763	-79.847476	2704	29395	Urbano	A	Lambayeque	Costa	0.15
